"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:05:43.3973569","System","4","Load Image","C:\WINDOWS\System32\Drivers\acpiex.sys","SUCCESS","Image Base: 0xfffff80329500000, Image Size: 0x2a000"
"21:05:43.3973638","System","4","Load Image","C:\WINDOWS\System32\drivers\ACPI.sys","SUCCESS","Image Base: 0xfffff80329660000, Image Size: 0xd6000"
"21:05:43.3975674","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0","SUCCESS","Desired Access: Read"
"21:05:43.3975806","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:43.3976032","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:43.3976110","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0","SUCCESS",""
"21:05:43.3982098","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0103\3&11583659&0","SUCCESS","Desired Access: Read"
"21:05:43.3982212","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0103\3&11583659&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:43.3982390","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0103\3&11583659&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:43.3982452","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0103\3&11583659&0","SUCCESS",""
"21:05:43.3982646","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C02\90","SUCCESS","Desired Access: Read"
"21:05:43.3982809","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C02\90\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:43.3982983","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C02\90\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:43.3983056","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C02\90","SUCCESS",""
"21:05:43.3991404","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0","SUCCESS","Desired Access: Read"
"21:05:43.3991532","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:43.3991772","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:43.3991847","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0","SUCCESS",""
"21:05:43.3999227","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0103\3&11583659&0","SUCCESS","Desired Access: Read"
"21:05:43.3999347","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0103\3&11583659&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:43.3999519","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0103\3&11583659&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
