"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:25:46.3784509","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col01\4&20999191&0&0000","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3784755","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col01\4&20999191&0&0000\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:25:46.3785009","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col02\4&20999191&0&0001","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3785133","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col02\4&20999191&0&0001\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:25:46.3785284","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col03\4&20999191&0&0002","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3785403","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col03\4&20999191&0&0002\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:25:46.3785540","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col04\4&20999191&0&0003","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3785662","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col04\4&20999191&0&0003\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:25:46.3785794","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col05\4&20999191&0&0004","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3785894","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col05\4&20999191&0&0004\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:25:46.3786019","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col06\4&20999191&0&0005","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3786126","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col06\4&20999191&0&0005\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:25:46.3786300","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col07\4&20999191&0&0006","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3786408","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col07\4&20999191&0&0006\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:25:46.3786539","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col08\4&20999191&0&0007","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3786657","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col08\4&20999191&0&0007\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:25:46.3786803","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0231\a","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3786929","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0231\a\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"21:25:46.3794621","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0231\a","SUCCESS","Desired Access: Query Value, Maximum Allowed"
"21:25:46.3795055","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0231\a\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002","SUCCESS","Desired Access: Query Value"
"21:25:46.3795434","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0231\a\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002\(Default)","SUCCESS","Type: <Unknown: 4294905859>, Length: 96, Data: "
"21:25:46.3795606","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0231\a\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002","SUCCESS",""
"21:25:46.3795748","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0231\a","SUCCESS",""
"21:25:46.3795914","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0231\a","SUCCESS","Desired Access: Query Value, Maximum Allowed"
"21:25:46.3796079","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0231\a\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002","SUCCESS","Desired Access: Query Value"
"21:25:46.3796173","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0231\a\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002\(Default)","SUCCESS","Type: <Unknown: 4294905859>, Length: 96, Data: "
"21:25:46.3796260","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0231\a\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002","SUCCESS",""
"21:25:46.3796343","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0231\a","SUCCESS",""
"21:25:46.3810046","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col01\4&20999191&0&0000\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:25:46.3810914","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col01\4&20999191&0&0000\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:25:46.3811094","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col01\4&20999191&0&0000\Capabilities","SUCCESS","Type: REG_DWORD, Length: 4, Data: 224"
"21:25:46.3811312","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col01\4&20999191&0&0000\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:25:46.3811431","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col02\4&20999191&0&0001\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:25:46.3811753","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col02\4&20999191&0&0001\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:25:46.3811860","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HID\MSHW0231&Col02\4&20999191&0&0001\Capabilities","SUCCESS","Type: REG_DWORD, Length: 4, Data: 224"
